term	code
infection caused by Staphylococcus Coagulase negative	A49.0
infection due to Staphylococcus Coagulase negative	A49.0
fetal infection caused by Staphylococcus aureus	A49.0
early neonatal infection caused by Staphylococcus aureus	A49.0
bacteremia caused by Methicillin resistant Staphylococcus aureus	A49.0
MRSA bacteraemia	A49.0
MRSA bacteremia	A49.0
bacteraemia caused by Methicillin resistant Staphylococcus aureus	A49.0
bacteraemia due to Methicillin resistant Staphylococcus aureus	A49.0
bacteremia due to Methicillin resistant Staphylococcus aureus	A49.0
methicillin resistant Staphylococcus aureus infection	A49.0
MRSA (Methicillin resistant Staphylococcus aureus) infection	A49.0
infection due to Methicillin resistant Staphylococcus aureus	A49.0
MRSA	A49.0
MRSA	A49.0
MRSA	A49.0
multiple-resistant Staphylococcus aureus infection	A49.0
infection caused by glycopeptide resistant Staphylococcus aureus	A49.0
GRSA infection	A49.0
glycopeptide resistant Staphylococcus aureus infection	A49.0
infection due to glycopeptide resistant Staphylococcus aureus	A49.0
infection caused by vancomycin resistant Staphylococcus aureus	A49.0
infection due to vancomycin resistant Staphylococcus aureus	A49.0
vancomycin resistant Staphylococcus aureus infection	A49.0
infection caused by vancomycin intermediate/resistant Staphylococcus aureus	A49.0
infection due to vancomycin intermediate/resistant Staphylococcus aureus	A49.0
infection caused by Staphylococcus aureus	A49.0
Staphylococcus aureus infection	A49.0
infection due to Staphylococcus aureus	A49.0
infection caused by glycopeptide intermediate Staphylococcus aureus	A49.0
GISA	A49.0
glycopeptide intermediate Staphylococcus aureus infection	A49.0
infection due to glycopeptide intermediate Staphylococcus aureus	A49.0
infection caused by vancomycin intermediate Staphylococcus aureus	A49.0
VISA	A49.0
infection due to vancomycin intermediate Staphylococcus aureus	A49.0
vancomycin intermediate Staphylococcus aureus infection	A49.0
infection caused by glycopeptide intermediate/resistant Staphylococcus aureus	A49.0
GISA/GRSA	A49.0
infection due to glycopeptide intermediate/resistant Staphylococcus aureus	A49.0
infection due to Staphylococcus epidermidis	A49.0
infection caused by vancomycin resistant Staphylococcus aureus, coagulase positive	A49.0
infection due to vancomycin resistant Staphylococcus aureus, coagulase positive	A49.0
community-acquired methicillin-resistant Staphylococcus aureus infection	A49.0
community acquired meticillin resistant Staphylococcus aureus infection	A49.0
community-acquired MRSA (methicillin-resistant Staphylococcus aureus) infection	A49.0
Staphylococcus aureus bacteraemia	A49.0
Staphylococcus aureus bacteremia	A49.0
bacteraemia caused by Staphylococcus aureus	A49.0
bacteremia due to Staphylococcus aureus	A49.0
infection caused by methicillin susceptible Staphylococcus aureus	A49.0
infection by methicillin sensitive Staphylococcus aureus	A49.0
infection by methicillin susceptible Staphylococcus aureus	A49.0
infection caused by methicillin sensitive Staphylococcus aureus	A49.0
infection caused by methicillin resistant Staphylococcus intermedius	A49.0
MRS intermedius Infection	A49.0
infection by methicillin resistant Staphylococcus intermedius	A49.0
infection caused by methicillin resistant Staphylococcus pseudintermedius	A49.0
MRS pseudintermedius Infection	A49.0
infection caused by Panton-Valentine leukocidin producing Staphylococcus aureus	A49.0
infection caused by Panton-Valentine leucocidin producing Staphylococcus aureus	A49.0
infection due to Panton-Valentine leucocidin producing Staphylococcus aureus	A49.0
infection due to Panton-Valentine leukocidin producing Staphylococcus aureus	A49.0
staphylococcal infectious disease	A49.0
staphylococcal infection	A49.0
staphylococcosis	A49.0
staphylococcal toxin-mediated reaction of skin	A49.0
pelvic inflammation with female sterility caused by Chlamydia trachomatis	A56.1
pelvic inflammation with female sterility due to Chlamydia trachomatis	A56.1
chlamydial prostatitis	A56.1
chlamydial epididymitis	A56.1
chlamydial epididymo-orchitis	A56.1
chlamydial salpingitis	A56.1
PID (Pelvic inflammatory disease) with female sterility caused by Chlamydia trachomatis	A56.1
PID (Pelvic inflammatory disease) with female sterility due to Chlamydia trachomatis	A56.1
PID	A56.1
PID	A56.1
PID	A56.1
PID	A56.1
